originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
We hypothesize that entailment relations hold between related words and introduce similarity features to capture this non-directional relation between words and contexts.	Our hypothesis proposes that related words exhibit entailment relationships, leading us to develop similarity features that model this bidirectional connection between words and their contexts.	The assumption underlying our approach is that entailment connections exist among semantically related terms, prompting the incorporation of similarity measures to represent these undirected word-context associations.	By positing that semantically connected words maintain entailment links, we present similarity-based features designed to encode the non-directional nature of word-context relationships.	Entailment relationships are theorized to exist between words that share semantic connections, which motivates our introduction of similarity features for capturing these symmetric word-context interactions.
Given a pair of vectors (~l, ~r), we use three similarity measures: the cosine similarity cosine(~l, ~r), the dot product ~l · ~r, and the euclidean distance ‖~l − ~r‖.	For any two vectors (~l, ~r), we employ three metrics to assess similarity: cosine similarity cosine(~l, ~r), the dot product ~l · ~r, and euclidean distance ‖~l − ~r‖.	Three similarity measures are applied to vector pairs (~l, ~r): euclidean distance ‖~l − ~r‖, dot product ~l · ~r, and cosine similarity cosine(~l, ~r).	When working with vector pairs (~l, ~r), our approach incorporates the following three similarity calculations: ~l · ~r (dot product), cosine(~l, ~r) (cosine similarity), and ‖~l − ~r‖ (euclidean distance).	Three different similarity measures—cosine similarity cosine(~l, ~r), euclidean distance ‖~l − ~r‖, and dot product ~l · ~r—are utilized for evaluating vector pairs (~l, ~r).
The cosine similarity captures the difference in the two vectors in terms of the angle between then, the euclidean distance measures the difference in magnitude, and the dot product captures both magnitude and angle.	While the dot product encompasses both angular and magnitude differences between two vectors, cosine similarity focuses solely on their angular relationship, and euclidean distance quantifies only their magnitude differential.	Two vectors can be compared through three distinct measures: their angular separation is revealed by cosine similarity, their magnitude variation is shown by euclidean distance, and their combined angular and magnitude relationship is expressed by the dot product.	When analyzing vector relationships, cosine similarity isolates the angular component of their difference, euclidean distance isolates the magnitude component, whereas the dot product integrates both angular and magnitude aspects together.	The angular disparity between vectors is measured by cosine similarity, euclidean distance assesses their magnitude disparity, and the dot product provides a unified measure incorporating both angular and magnitude characteristics.
We apply these measures to three types of representations.	Three types of representations are subjected to these measures.	These measures get implemented across three different representational forms.	Three distinct representation categories receive the application of these measures.	We use these measures on three representational variants.
Our first set of similarities is intended to directly capture the similarities between contextualized word representations (Section 3.1).	The initial group of similarities we present aims to explicitly measure how alike contextualized word representations are (Section 3.1).	Section 3.1 describes our primary similarity measures, which are designed to straightforwardly assess correspondence among contextualized word representations.	We begin with similarity metrics that serve the purpose of immediately reflecting the degree of resemblance in contextualized word representations (Section 3.1).	Direct measurement of similarities within contextualized word representations forms the foundation of our opening similarity collection, as detailed in Section 3.1.
We calculate pairwise similarities between (~wl,max, ~wr,max), (~wl,min, ~wr,min), (~wl,mean, ~wr,mean), as well as between the context-agnostic representations (~wl, ~wr).	Pairwise similarities are computed for the pairs (~wl,max, ~wr,max), (~wl,min, ~wr,min), (~wl,mean, ~wr,mean), and also for the context-agnostic representations (~wl, ~wr).	The computation involves determining pairwise similarities among (~wl,max, ~wr,max), (~wl,min, ~wr,min), (~wl,mean, ~wr,mean), in addition to calculating them for the context-agnostic representations (~wl, ~wr).	For the representation pairs (~wl,max, ~wr,max), (~wl,min, ~wr,min), (~wl,mean, ~wr,mean), and the context-agnostic representations (~wl, ~wr), we determine their respective pairwise similarities.	Our approach measures pairwise similarities across multiple representation types: the maximum, minimum, and mean variants (~wl,max, ~wr,max), (~wl,min, ~wr,min), (~wl,mean, ~wr,mean), plus the context-agnostic forms (~wl, ~wr).
Second, we add similarities based on Context2Vec representations, i.e.	Additionally, we incorporate similarities derived from Context2Vec representations.	Context2Vec representation-based similarities are then included as our second step.	The next addition involves similarities that utilize Context2Vec representations.	As a follow-up measure, similarities grounded in Context2Vec representations are integrated.
between each pair of ~wl,c2v, ~wr,c2v, ~cl,c2v, and ~cr,c2v.	Among every pair formed by ~wl,c2v, ~wr,c2v, ~cl,c2v, and ~cr,c2v.	For all pairs that can be created from ~wl,c2v, ~wr,c2v, ~cl,c2v, and ~cr,c2v.	Across each pairing of the elements ~wl,c2v, ~wr,c2v, ~cl,c2v, and ~cr,c2v.	Within every possible pair combination of ~wl,c2v, ~wr,c2v, ~cl,c2v, and ~cr,c2v.
Finally, following Shwartz and Dagan (2015), we capture the similarity of the most relevant word to wl in cr, that to wr in cl, as well as between cl and cr.	We also measure the similarity between the most pertinent word corresponding to wl in cr and that corresponding to wr in cl, along with the similarity between cl and cr themselves, adopting the approach of Shwartz and Dagan (2015).	In accordance with Shwartz and Dagan (2015), we additionally compute three similarity measures: between cr's most relevant word for wl, between cl's most relevant word for wr, and between the contexts cl and cr directly.	Building on the methodology established by Shwartz and Dagan (2015), our approach involves calculating similarity scores for the word in cr most closely related to wl, the word in cl most closely related to wr, and the overall similarity between contexts cl and cr.	As per Shwartz and Dagan's (2015) framework, we determine similarity values linking wl to its most corresponding term within cr, wr to its most corresponding term within cl, and establish the similarity relationship between the complete contexts cl and cr.
"We therefore add the following three similarities, as well as their pairwise products:
max w∈cr ~wl · ~w, max w∈cl ~wr · ~w, max w∈cl,w′∈cr ~w · ~w′
4
Word : Study Example : he knocked on the door of the study
Word : Study Example : he made several studies before the final painting
Word : Room Example : the rooms were small but comfortable
Word : Drawing Example : he did complicated pen-and-ink drawings
Figure 2: Sample dataset creation process based on two synsets of the word study."	Consequently, we incorporate these three similarity measures along with their pairwise multiplicative combinations: max w∈cr ~wl · ~w, max w∈cl ~wr · ~w, max w∈cl,w′∈cr ~w · ~w′	As a result, the following three similarities and their cross-products are included: max w∈cr ~wl · ~w, max w∈cl ~wr · ~w, max w∈cl,w′∈cr ~w · ~w′	These three similarity functions, together with their pairwise product terms, are thus appended: max w∈cr ~wl · ~w, max w∈cl ~wr · ~w, max w∈cl,w′∈cr ~w · ~w′	Hence, we supplement our approach by including the subsequent three similarity computations and their respective pairwise multiplications: max w∈cr ~wl · ~w, max w∈cl ~wr · ~w, max w∈cl,w′∈cr ~w · ~w′
The green/solid lines indicate positive examples, while the red/dashed lines indicate negative examples	Positive examples are represented by green solid lines, whereas negative examples are shown with red dashed lines.	Red dashed lines denote negative examples, and green solid lines denote positive examples.	You can identify positive examples by their green solid line formatting, in contrast to negative examples which use red dashed line formatting.	The visual distinction between example types uses green solid lines for positive cases and red dashed lines for negative cases.
We evaluate our models of lexical entailment in context on three complementary datasets.	Three complementary datasets serve as the basis for evaluating our contextual lexical entailment models.	Our contextual lexical entailment models undergo assessment using a trio of mutually supportive datasets.	The evaluation of our lexical entailment models within context is conducted across three datasets that complement one another.	Using three datasets that work together comprehensively, we assess how well our models perform at lexical entailment in context.
The first dataset, CONTEXT-PPDB, is a finegrained lexical inference dataset created using 375 word pairs from a subset of the English Paraphrase Database (Ganitkevitch et al., 2013; Pavlick et al., 2015b).	CONTEXT-PPDB represents a detailed lexical inference dataset constructed from 375 word pairs selected from a portion of the English Paraphrase Database (Ganitkevitch et al., 2013; Pavlick et al., 2015b).	Using 375 word pairs drawn from the English Paraphrase Database (Ganitkevitch et al., 2013; Pavlick et al., 2015b), researchers developed CONTEXT-PPDB as a finegrained dataset for lexical inference tasks.	A subset of the English Paraphrase Database (Ganitkevitch et al., 2013; Pavlick et al., 2015b) provided 375 word pairs that were used to build CONTEXT-PPDB, a finegrained lexical inference dataset.	The finegrained lexical inference dataset known as CONTEXT-PPDB was generated by utilizing 375 word pairs sourced from the English Paraphrase Database (Ganitkevitch et al., 2013; Pavlick et al., 2015b).
These word pairs are semiautomatically labeled with semantic relations outof-context.	Semantic relations are assigned to these word pairs through semi-automated labeling processes that operate without contextual information.	Without considering context, these pairs of words receive semantic relationship labels via partially automated methods.	Semi-automated systems classify the semantic relationships between these word pairs independently of any surrounding context.	The semantic connections linking these word pairs undergo semi-automatic labeling that disregards contextual factors.
Shwartz and Dagan (2015) augmented them with examples of word usage in context, and re-annotating word pairs given the extra contextual information.	Shwartz and Dagan (2015) enhanced these datasets by incorporating contextual usage examples and performing fresh annotations of word pairs using this additional contextual data.	By adding instances of words used in context and re-evaluating word pairs with this supplementary contextual information, Shwartz and Dagan (2015) improved upon the original datasets.	The work of Shwartz and Dagan (2015) involved expanding the datasets through the inclusion of contextual word examples and conducting new annotations of word pairs based on the enriched contextual details.	Additional contextual usage examples were integrated into the datasets by Shwartz and Dagan (2015), who then re-annotated the word pairs using this enhanced contextual information.
The final dataset consists of 3750 words/contexts tuples with a corresponding label from Table 2, one of which is entailment.	The completed dataset contains 3750 word/context pairs, each assigned a label from Table 2, including entailment as one option.	A total of 3750 tuples pairing words with their contexts make up the final dataset, where each tuple receives a label selected from Table 2, with entailment being among the available labels.	Comprising 3750 word-context combinations, the resulting dataset assigns to each tuple a corresponding label chosen from Table 2, entailment being one such label.	Each of the 3750 word/context tuple pairs in the finalized dataset has been labeled according to Table 2's classification system, which includes entailment among its categories.
In addition to CONTEXT-PPDB, we would like a test set for controlled analysis of lexical entailment in context.	Beyond CONTEXT-PPDB, our goal is to create a test set that enables systematic examination of how lexical entailment operates within contextual frameworks.	A test set for the systematic analysis of contextual lexical entailment would complement CONTEXT-PPDB in our research objectives.	We aim to develop a test dataset that allows for rigorous study of lexical entailment patterns when embedded in specific contexts, supplementing the existing CONTEXT-PPDB resource.	To facilitate controlled investigation of how context influences lexical entailment relationships, we require an additional test set alongside CONTEXT-PPDB.
We would like to directly assess the sensitivity of our models to contexts that signal different word senses, as well as quantify the extent to which our models detect asymmetric entailment relations rather than semantic similarity.	Our goal is to evaluate how responsive our models are to contextual cues indicating distinct word meanings, while also measuring their ability to identify one-directional logical relationships instead of bidirectional semantic resemblance.	The research aims to measure both how well the models distinguish between various meanings of words based on surrounding context and how effectively they recognize unidirectional inference patterns as opposed to mutual semantic relatedness.	Two key objectives drive this study: examining whether contextual information helps our models differentiate between multiple senses of the same word, and determining if the models can detect directional entailment rather than simply finding semantic connections.	This investigation seeks to quantify our models' context-dependent disambiguation capabilities for polysemous terms and their proficiency in recognizing asymmetrical logical implications versus symmetric semantic associations.
Based on the above criteria, we introduce a large-scale dataset automatically extracted from WordNet (Fellbaum, 1998a).	We present a comprehensive dataset that has been automatically derived from WordNet (Fellbaum, 1998a) according to these established criteria.	Following the criteria outlined above, a large-scale dataset is introduced that underwent automatic extraction from WordNet (Fellbaum, 1998a).	Using the previously mentioned criteria as our foundation, we have developed an extensive dataset through automated extraction processes applied to WordNet (Fellbaum, 1998a).	A substantial dataset automatically generated from WordNet (Fellbaum, 1998a) is hereby presented in accordance with the aforementioned criteria.
We call this dataset CONTEXT-WN.	This dataset is referred to as CONTEXT-WN.	CONTEXT-WN is the name we have given to this dataset.	The dataset has been designated by us as CONTEXT-WN.	We have labeled this particular dataset CONTEXT-WN.
WordNet groups synonyms into synsets.	Synsets in WordNet contain groups of synonymous words.	WordNet organizes words with similar meanings into collections called synsets.	Synonymous terms are clustered together by WordNet to form synsets.	The lexical database WordNet creates synsets by grouping words that share the same meaning.
Most synsets are further accompanied by one or more short sentences illustrating the use of the members of the synset.	Short sentences that demonstrate how synset members are used typically accompany most synsets.	The majority of synsets include brief example sentences showing the usage of their constituent words.	One or more concise sentences usually provide usage examples for the words contained within most synsets.	Brief illustrative sentences commonly supplement synsets to show how their member terms function in context.
The idea behind CONTEXT-WN is to use these example sentences as context for the words, and hypernymy relations to draw examples of lexical entailment relations.	CONTEXT-WN operates by leveraging example sentences to provide contextual information for words while utilizing hypernymy relationships to illustrate instances of lexical entailment.	The concept underlying CONTEXT-WN involves employing sample sentences as word context and exploiting hierarchical word relationships to demonstrate lexical entailment examples.	By using specimen sentences for contextualizing vocabulary and drawing upon hypernymy connections, CONTEXT-WN aims to showcase lexical entailment relationship examples.	CONTEXT-WN's foundational approach centers on contextualizing words through example sentences and extracting lexical entailment demonstrations via hypernymy links.
"The entire process starts from a seed list of words W and proceeds as follows (see Figure 2 for an illustration) :
1."	Beginning with an initial seed list of words W, the complete procedure unfolds in the following manner (refer to Figure 2 for a visual representation):	The whole methodology commences using a foundational word collection W and continues through these steps (Figure 2 provides an illustrative example):	Starting from a core set of words W, the full algorithm operates according to the sequence detailed below (as depicted in Figure 2):	A seed word list W serves as the foundation from which the entire workflow advances through the subsequent stages (with Figure 2 offering clarification):
"For each word type w ∈ W with multiple synsets, obtain all synsets Sw.
2."	For every word type w that belongs to W and has more than one synset, retrieve the complete set of synsets Sw.	Collect all synsets Sw corresponding to each word type w in W that possesses multiple synsets.	When a word type w from the set W contains several synsets, gather the entire collection of these synsets as Sw.	Extract the full synset collection Sw for any word type w within W that is associated with multiple synsets.
For each synset i ∈ Sw, pick a hypernym synset sih, with a corresponding word form wih.	From every synset i within Sw, select a hypernym synset sih along with its associated word form wih.	Choose a hypernym synset sih and its corresponding word form wih for each synset i that belongs to Sw.	A hypernym synset sih, together with its related word form wih, should be selected from each synset i found in Sw.	Take every synset i in the set Sw and identify its hypernym synset sih, which has a matching word form wih.
"Also obtain c
i and cih which are example sentences corresponding to wi and wih respectively - (wi, wih, c
i, cih) serves as a positive example."	Additionally, retrieve ci and cih, which represent sample sentences that correspond to wi and wih respectively, with the tuple (wi, wih, ci, cih) functioning as a positive instance.	Furthermore, collect ci and cih as illustrative sentences that match wi and wih in that order, where this quartet (wi, wih, ci, cih) constitutes a positive training example.	You should also gather ci and cih - these are specimen sentences that relate to wi and wih respectively, and together (wi, wih, ci, cih) forms a positive case.	In addition, secure ci and cih, representing exemplary sentences tied to wi and wih correspondingly, such that the combination (wi, wih, ci, cih) acts as a positive sample.
3.				
Permute the positive examples to get negative examples.	Transform the positive instances into negative ones through rearrangement.	Rearrange affirmative cases to create counterexamples.	Generate negative samples by reordering the positive ones.	Create adverse examples through permutation of the favorable instances.
"From (wi, wih, c
i, cih) and (wj , wjh, c
j , cjh), generate negative examples (wi, wjh, c i, cjh) and (w j , wih, c j , cih)."	Using the pairs (wi, wih, ci, cih) and (wj, wjh, cj, cjh), create negative instances by forming (wi, wjh, ci, cjh) and (wj, wih, cj, cih).	Negative examples are produced by taking (wi, wih, ci, cih) and (wj, wjh, cj, cjh) and constructing (wi, wjh, ci, cjh) alongside (wj, wih, cj, cih).	The formation of negative samples involves combining elements from (wi, wih, ci, cih) and (wj, wjh, cj, cjh) to yield (wi, wjh, ci, cjh) and (wj, wih, cj, cih).	By cross-combining components from the tuples (wi, wih, ci, cih) and (wj, wjh, cj, cjh), the negative examples (wi, wjh, ci, cjh) and (wj, wih, cj, cih) are constructed.
4.				
Flip the positive examples to generate more negative examples.	Convert the positive instances into additional negative instances by reversing them.	Transform affirmative cases to create a greater number of negative cases.	More negative examples can be generated by inverting the positive ones.	Reverse the favorable samples to produce an increased quantity of unfavorable samples.
"From (wi, wih, c
i, cih) generate the negative example (wih, w i, cih, c i)."	Create the negative example (wih, w i, cih, c i) using the original tuple (wi, wih, c i, cih).	The negative example (wih, w i, cih, c i) is produced by transforming (wi, wih, c i, cih).	Starting with (wi, wih, c i, cih), construct its corresponding negative example (wih, w i, cih, c i).	The tuple (wi, wih, c i, cih) yields the negative instance (wih, w i, cih, c i) through generation.
We run this process using the 9000 most frequent words from Wikipedia as W (after filtering the top 1000 as stopwords).	The process is executed with W consisting of the 9000 most common Wikipedia words, excluding the top 1000 which are filtered out as stopwords.	After removing the 1000 most frequent terms as stopwords, we utilize the remaining 9000 highest-frequency Wikipedia words to define W for this process.	Our methodology employs W as the set of 9000 most prevalent words extracted from Wikipedia, having first eliminated the top 1000 entries classified as stopwords.	By filtering out the initial 1000 most common words as stopwords, we obtain W from Wikipedia's 9000 most frequently occurring terms to operate this process.
This yields a total of 5239 positive examples.	A total of 5239 positive examples results from this process.	The outcome produces 5239 examples that are classified as positive.	5239 positive examples are generated through this method.	The final count reaches 5239 examples in the positive category.
We sample an equal number of negative examples from Step 3, with another 5239 examples being generated in Step 4.	From Step 3, we draw the same quantity of negative examples, while Step 4 produces an additional 5239 examples.	An equivalent amount of negative examples is selected from Step 3, and Step 4 creates another 5239 examples.	Step 3 provides us with a matching number of negative examples through sampling, whereas 5239 more examples are produced during Step 4.	The same count of negative examples gets sampled from Step 3, with Step 4 yielding a further 5239 examples.
The final dataset consists of 10478 negative examples.	A total of 10478 negative examples comprise the final dataset.	The completed dataset contains 10478 instances classified as negative.	There are 10478 negative cases included in the final collection of data.	Ten thousand four hundred seventy-eight negative samples make up the ultimate dataset.
CONTEXT-WN satisfies our desiderata.	Our desiderata are satisfied by CONTEXT-WN.	CONTEXT-WN meets all of our specified requirements.	The criteria we established are fulfilled by CONTEXT-WN.	Our desired objectives find satisfaction in CONTEXT-WN.
The dataset has a very specific focus since we only pick hypernym-hyponym pairs.	Because we exclusively select hypernym-hyponym pairs, the dataset maintains a highly targeted scope.	Our selection criteria, which limits us to hypernym-hyponym pairs alone, gives the dataset an extremely narrow specialization.	The dataset's focus remains quite precise due to our restriction to choosing only pairs of hypernyms and hyponyms.	By limiting our choices to hypernym-hyponym pairs exclusively, we ensure the dataset has a particularly concentrated emphasis.
The negative examples generated in Steps 3 and 4 require discriminating between different word senses and entailment directions.	Steps 3 and 4 produce negative examples that demand the ability to distinguish between various word meanings and the directions of logical entailment.	The negative instances created during the third and fourth steps necessitate differentiation among distinct semantic interpretations of words and entailment orientations.	Distinguishing between multiple word senses and entailment directions becomes necessary when generating the negative examples that result from Steps 3 and 4.	For the negative examples that Steps 3 and 4 yield, discrimination must occur between different meanings of words and the directional flow of entailment relationships.
Finally, with over 15000 examples distributed over 6000 word pairs, the dataset is almost five times as large as CONTEXT-PPDB.	The dataset contains more than 15,000 examples across 6,000 word pairs, making it nearly five times larger than CONTEXT-PPDB.	At nearly five times the size of CONTEXT-PPDB, this dataset encompasses over 15,000 examples spanning 6,000 word pairs.	With 6,000 word pairs yielding more than 15,000 examples, the resulting dataset approaches five times the scale of CONTEXT-PPDB.	CONTEXT-PPDB is dwarfed by this dataset, which is almost five times as extensive and includes over 15,000 examples from 6,000 word pairs.
We use a 70/5/25 train/dev/test split as in CONTEXT-PPDB.	Following the approach used in CONTEXT-PPDB, we employ a data division of 70% for training, 5% for development, and 25% for testing.	The dataset is partitioned into training (70%), development (5%), and test (25%) sets, mirroring the methodology of CONTEXT-PPDB.	Our data splitting strategy allocates 70% of samples to training, 5% to development, and 25% to testing, consistent with CONTEXT-PPDB's configuration.	Like CONTEXT-PPDB, the experimental setup divides the data with 70% designated for training purposes, 5% for development validation, and 25% for final evaluation.
We also ensure that each set contains different word pairs, to avoid memorization and overfitting (Levy et al., 2015).	To prevent memorization and overfitting (Levy et al., 2015), we make certain that distinct word pairs are included in every set.	Different word pairs are guaranteed within each set by our approach, which helps avoid the problems of memorization and overfitting (Levy et al., 2015).	Each set is designed with unique word pairs, a measure taken to circumvent memorization and overfitting issues (Levy et al., 2015).	By incorporating varied word pairs across all sets, memorization and overfitting are prevented, as noted by Levy et al. (2015).
Our final dataset takes a cross-lingual view of lexical entailment in context.	The dataset we ultimately created examines lexical entailment within context from a multilingual perspective.	A cross-lingual approach to contextual lexical entailment characterizes our concluding dataset.	We developed our ultimate dataset by analyzing how lexical entailment operates across different languages when considered in context.	The resulting dataset adopts a multilingual framework for studying lexical entailment as it appears in contextual settings.
"To create this dataset, we follow the same methodology that was used to create CONTEXT-PPDB, replacing word pairs from PPDB with a set of 100 English-French
5
word pairs labeled as positive out-of-context in the cross-lingual lexical entailment dataset of Vyas and Carpuat (2016)."	We construct this dataset using the identical approach employed in CONTEXT-PPDB's creation, but substitute PPDB word pairs with 100 English-French word pairs that Vyas and Carpuat (2016) marked as positive out-of-context examples in their cross-lingual lexical entailment dataset.	The dataset construction process mirrors that of CONTEXT-PPDB, except that instead of using PPDB word pairs, we incorporate 100 English-French word pairs from Vyas and Carpuat's (2016) cross-lingual lexical entailment dataset, specifically those classified as positive out-of-context instances.	Following the same procedural framework as CONTEXT-PPDB, this dataset is generated by swapping out PPDB's word pairs for a collection of 100 English-French word pairs that received positive out-of-context labels in the cross-lingual lexical entailment work by Vyas and Carpuat (2016).	Our dataset creation replicates CONTEXT-PPDB's methodology, with the key difference being our use of 100 English-French word pairs labeled as positive out-of-context from Vyas and Carpuat's (2016) cross-lingual lexical entailment dataset rather than the original PPDB word pairs.
Each word pair (wl, wr) consists of an English word and a French word.	Every pair of words (wl, wr) is made up of one English word and one French word.	The word pairs (wl, wr) are composed of an English term paired with a French term.	A French word and an English word form each word pair (wl, wr).	Within every (wl, wr) pairing, you'll find one word from English and another from French.
To add context, we extract 10 sentence pairs (cl, cr) per word pair from the Wikipedia in the corresponding language.	We retrieve 10 sentence pairs (cl, cr) for each word pair by extracting them from Wikipedia in the relevant language to provide context.	For contextual purposes, 10 sentence pairs (cl, cr) are obtained per word pair through extraction from Wikipedia written in the matching language.	Context is established by pulling 10 sentence pairs (cl, cr) corresponding to each word pair from the Wikipedia version in the appropriate language.	In order to supply context, each word pair yields 10 sentence pairs (cl, cr) that are sourced from Wikipedia in the language that corresponds to the data.
These thousand examples are then given to annotators on a crowdsourcing platform 2.	Annotators on a crowdsourcing platform then receive these thousand examples.	A crowdsourcing platform's annotators are subsequently provided with this set of one thousand examples.	The one thousand examples are distributed to workers through a crowdsourcing platform.	Using a crowdsourcing platform, these 1,000 examples get assigned to human annotators.
For each example (wl, wr, cl, cr), the annotators were asked to judge whether wl =⇒ wr given the contexts cl and cr.	Annotators evaluated each example (wl, wr, cl, cr) to determine if wl entails wr when considering the contexts cl and cr.	Given the contexts cl and cr, annotators assessed whether wl implies wr for every example (wl, wr, cl, cr).	The task required annotators to decide, based on contexts cl and cr, if the relationship wl =⇒ wr holds true in each provided example (wl, wr, cl, cr).	Each example (wl, wr, cl, cr) was presented to annotators who determined the validity of the implication wl =⇒ wr within the given contextual framework of cl and cr.
Each example was annotated by 5 workers3.	Five workers provided annotations for every example.	Annotations were completed by a team of 5 workers for each individual example.	A total of 5 workers were responsible for annotating each example.	Every example received annotations from 5 different workers.
For each example, we assign the majority judgment as the correct label.	We designate the majority judgment as the correct label for every example.	The correct label for each example is determined by assigning it the majority judgment.	In every case, the majority judgment becomes the correct label that we assign.	The majority judgment serves as the correct label assigned to each individual example.
4 or more annotators agree on the label on 540 examples, and we retain only these examples as our test set.	We keep only the 540 examples where at least 4 annotators reached consensus on the labeling, using these as our test set.	Our test set consists exclusively of 540 examples that received concordant labels from a minimum of four annotators.	The test set was formed by retaining solely those 540 examples on which four or more annotators demonstrated labeling agreement.	Only 540 examples achieved label consensus among 4+ annotators, so these became our retained test set.
This yields a dataset of 374 positive examples and 166 negative examples.	The resulting dataset contains 374 positive instances and 166 negative instances.	A total of 374 positive cases and 166 negative cases comprise the final dataset.	From this process, 374 examples are classified as positive while 166 are classified as negative.	The dataset that emerges consists of 166 negative samples alongside 374 positive samples.
All experiments on CONTEXT-PPDB and CONTEXT-WN are with the default train/dev/test splits.	The default train/dev/test splits were used for all experiments conducted on CONTEXT-PPDB and CONTEXT-WN.	Every experiment involving CONTEXT-PPDB and CONTEXT-WN utilized the standard training, development, and testing data divisions.	For both CONTEXT-PPDB and CONTEXT-WN datasets, we employed the conventional partitioning into train/dev/test sets across all experimental procedures.	CONTEXT-PPDB and CONTEXT-WN experiments consistently applied the established train/dev/test data segmentation throughout.
We use 50 dimensional off-the-shelf GloVe embeddings (Pennington et al., 2014) to create ~wl, ~wr, Cl, and Cr.	The creation of ~wl, ~wr, Cl, and Cr relies on 50-dimensional pre-trained GloVe embeddings from Pennington et al. (2014).	To generate ~wl, ~wr, Cl, and Cr, we employ pre-existing 50-dimensional GloVe embeddings developed by Pennington et al. in 2014.	50-dimensional GloVe embeddings that are readily available (Pennington et al., 2014) serve as the foundation for constructing ~wl, ~wr, Cl, and Cr.	~wl, ~wr, Cl, and Cr are derived using standard 50-dimensional GloVe word embeddings as described in Pennington et al. (2014).
To obtain the Context2Vec representations ~wl,c2v, ~wl,c2v, ~cl,c2v, and ~cr,c2v, we use an existing model trained on the ukWaC corpus (Ferraresi et al., 2006) .	We employ a pre-trained model based on the ukWaC corpus (Ferraresi et al., 2006) to generate the Context2Vec representations ~wl,c2v, ~wl,c2v, ~cl,c2v, and ~cr,c2v.	The Context2Vec representations ~wl,c2v, ~wl,c2v, ~cl,c2v, and ~cr,c2v are derived using a previously trained model on the ukWaC corpus (Ferraresi et al., 2006).	For generating ~wl,c2v, ~wl,c2v, ~cl,c2v, and ~cr,c2v Context2Vec representations, a model that has been trained on the ukWaC corpus (Ferraresi et al., 2006) is utilized.	An already-trained model developed from the ukWaC corpus (Ferraresi et al., 2006) serves as our method for acquiring the Context2Vec representations ~wl,c2v, ~wl,c2v, ~cl,c2v, and ~cr,c2v.
We use Logistic Regression as our classifier for both tasks, to allow for direct comparisons with previous work.	Both tasks employ Logistic Regression as the classification method to enable direct comparisons with prior research.	For the purpose of making direct comparisons with earlier studies, Logistic Regression serves as our chosen classifier across both tasks.	Our classifier of choice is Logistic Regression for each task, which facilitates straightforward comparisons against previous work.	To ensure direct comparability with existing research, we implement Logistic Regression as the classification approach for both experimental tasks.
We do not tune parameters of the classifier, except for adding class weights in the CONTEXT-WN experiments to account for the unbalanced data.	Apart from incorporating class weights in the CONTEXT-WN experiments to address data imbalance, no parameter tuning is performed on the classifier.	The classifier's parameters remain untuned, with the sole exception being the inclusion of class weights during CONTEXT-WN experiments to compensate for unbalanced datasets.	No adjustments are made to the classifier parameters, save for the addition of class weights in CONTEXT-WN experiments designed to handle imbalanced data.	Class weights are added only in the CONTEXT-WN experiments to manage unbalanced data; otherwise, the classifier operates without any parameter modifications.
As evaluation metric, we use weighted F1 score to compare against previous results, as well as to account for label imbalance in CONTEXT-WN.	We employ weighted F1 score as our evaluation metric both for comparison with prior work and to address the label imbalance present in CONTEXT-WN.	The weighted F1 score serves as our chosen evaluation measure, enabling comparison with earlier findings while compensating for uneven label distribution in CONTEXT-WN.	To handle label imbalance in CONTEXT-WN and enable comparisons with previous studies, weighted F1 score is utilized as the evaluation metric.	Our evaluation approach relies on weighted F1 score, which allows us to benchmark against existing results and mitigate the effects of imbalanced labels in CONTEXT-WN.
We evaluate our models on cross-lingual test set in a transfer setting by training on the training set of CONTEXT-PPDB.	Our models undergo evaluation using a cross-lingual test dataset through transfer learning, where training occurs on CONTEXT-PPDB's training portion.	By training on CONTEXT-PPDB's training data, we assess our models in a transfer scenario using cross-lingual test sets.	The evaluation of our models involves cross-lingual testing in a transfer framework, with the CONTEXT-PPDB training set serving as the training foundation.	Using a transfer approach, we conduct cross-lingual evaluation of our models after training them on the CONTEXT-PPDB training dataset.
"To represent ~wl, ~wr, we experiment with two different pre-trained, 200- dimensional, bilingual embeddings - BiVec (Luong et al., 2015) and BiCVM (Hermann and Blunsom, 2014), both of which have been shown to be
2www.crowdflower.com 3We will release further details of our annotation task including guidelines and the specific task after the review period."	For modeling ~wl and ~wr, we test two distinct pre-trained bilingual embeddings with 200 dimensions each: BiVec from Luong et al. (2015) and BiCVM from Hermann and Blunsom (2014), both demonstrated to be effective.	We utilize two separate 200-dimensional, pre-trained bilingual embedding models - BiVec (Luong et al., 2015) and BiCVM (Hermann and Blunsom, 2014) - to encode ~wl and ~wr, with both models having proven their effectiveness.	In our experiments for representing ~wl and ~wr, we employ BiVec (Luong et al., 2015) and BiCVM (Hermann and Blunsom, 2014), two different bilingual embedding approaches that are pre-trained with 200 dimensions and have established track records.	Two pre-trained bilingual embedding systems with 200-dimensional vectors - BiVec by Luong et al. (2015) and BiCVM by Hermann and Blunsom (2014) - serve as our experimental choices for representing ~wl and ~wr, both having demonstrated success previously.
