originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
The first one was exposed in Bethard and Martin (2008) and it is built on top of the Penn TreeBank corpus.	Bethard and Martin (2008) first exposed this one, which was constructed using the Penn TreeBank corpus as its foundation.	Built upon the Penn TreeBank corpus, the initial one was revealed by Bethard and Martin (2008).	The initial exposure of this one occurred in Bethard and Martin (2008), with its construction based on the Penn TreeBank corpus.	Using the Penn TreeBank corpus as a base, the first one was brought to light in Bethard and Martin (2008).
The corpus only provides the position of the related events in each sentence and whether the relation is causal.	Each sentence in the corpus contains only the locations of related events and indicates whether the relation is causal.	Within each sentence, the corpus specifies merely the positioning of related events and determines if the relation is causal.	For every sentence, the corpus supplies just the placement of related events along with information about whether the relation is causal.	The corpus furnishes, for each sentence, solely the location of related events and an indication of whether the relation is causal.
Unfortunately, the corpus is not freely available, and is also not large enough to train neural methods.	Two problems exist with the corpus: it cannot be obtained freely and is too small to effectively train neural methods.			
The second corpus is Causal-TimeBank (Mirza et al., 2014), which is built on top of the TimeML corpus.				
Annotation was restricted to explicit causal relations.	Only explicit causal relations were included in the annotation process.	The annotation process was limited to explicit causal relations alone.	Explicit causal relations were the sole focus of the annotation restrictions.	The scope of annotation encompassed only explicit causal relations.
They followed the same annotation schema of TimeML, so they defined the label CSIGNAL for the causal lexical markers, and CLINK to mark the causal relation between two events.	Using TimeML's annotation schema as their foundation, they established CSIGNAL as the label for causal lexical markers and CLINK to indicate causal relations connecting two events.	The same TimeML annotation schema was adopted by them, leading to their definition of CSIGNAL for marking causal lexical indicators and CLINK for representing causal relationships between event pairs.	By adhering to TimeML's identical annotation framework, CSIGNAL was designated for causal lexical markers while CLINK served to denote causal connections linking two events.	Their approach mirrored TimeML's annotation schema, which resulted in CSIGNAL being defined for causal lexical markers and CLINK for marking causal relationships that exist between two events.
The authors manually annotated the causal relations between the identified events in TimeML.	In TimeML, the authors provided manual annotations for the causal relations that exist between the events they had identified.	Manual annotation of causal relations between identified events was performed by the authors using TimeML.	Using TimeML, the authors carried out manual annotation to establish causal relations among the events that had been identified.	The identified events in TimeML were manually annotated by the authors to capture their causal relations.
The fact that the causal lexical markers are annotated agrees with our data requirements, but as the previous corpus, Causal-TimeBank is too small to train neural methods.	While the annotation of causal lexical markers in this corpus aligns with what we need for our data, Causal-TimeBank suffers from the same limitation as the earlier corpus—it lacks sufficient size for training neural methods.	Although having causal lexical markers annotated matches our data specifications, Causal-TimeBank shares the same drawback as the preceding corpus: inadequate scale for neural method training.	The annotation of causal lexical markers corresponds to our data needs, yet Causal-TimeBank, like the corpus mentioned before, remains too limited in scope for effective neural model training.	Despite the presence of annotated causal lexical markers meeting our data criteria, Causal-TimeBank exhibits the identical problem as the former corpus—insufficient volume for neural approach development.
Recently, the AltLex corpus has been freely released (Hidey and McKeown, 2016).				
The corpus was built on the idea that causation can be expressed by different kinds of linguistic constructions.	Different kinds of linguistic constructions can express causation, and this idea formed the foundation for building the corpus.	The construction of the corpus was based on the principle that various linguistic constructions have the ability to express causation.	Underlying the corpus development was the concept that causation may be conveyed through diverse types of linguistic constructions.	The corpus construction rested on the premise that multiple forms of linguistic constructions are capable of expressing causation.
"This is validated by the fact that in PDTB there are explicit causal lexical markers, and other sort of expressions that have a discourse meaning,
which are called AltLex."	The presence of explicit causal lexical markers in PDTB, along with other expressions having discourse meaning known as AltLex, serves as validation for this.	PDTB's inclusion of explicit causal lexical markers and additional expressions with discourse meaning, termed AltLex, provides validation for this claim.	Evidence supporting this comes from PDTB containing explicit causal lexical markers and various other discourse-meaningful expressions designated as AltLex.	The validation stems from PDTB's incorporation of explicit causal lexical markers alongside other discourse-meaning expressions referred to as AltLex.
The relations signalled by an AltLex expression are implicit relations, in which the annotator did not find an appropriate connective to insert between the events, because the meaning of the relation is entailed by other expressions, namely AltLex.	AltLex expressions signal implicit relations where annotators could not identify a suitable connective to place between events, since AltLex itself entails the relational meaning through other expressions.	When an AltLex expression is present, it indicates implicit relations—cases where no appropriate connective could be inserted between events by the annotator, as the relational meaning is conveyed by other expressions, specifically AltLex.	Implicit relations are what AltLex expressions signal, representing situations where annotators failed to locate a proper connective for insertion between events due to the relational meaning being entailed by other expressions, namely AltLex.	The implicit relations that AltLex expressions signal occur when annotators cannot find a fitting connective to insert between events, because AltLex and other expressions already entail the meaning of the relation.
Furthermore, some causal lexical markers can be perceived as variations of the basic ones, but those variations are not usually in the list of discourse connectives.	Additionally, certain causal lexical markers may be viewed as variants of fundamental ones, though these variants typically do not appear in discourse connectives lists.	Moreover, discourse connectives lists usually exclude variations of basic causal lexical markers, even though such variations can be recognized as related forms.	In addition, while variations of fundamental causal lexical markers might be identified as such, they are generally absent from standard discourse connectives inventories.	Beyond this, basic causal lexical markers have variations that can be recognized as related forms, yet these variations rarely find their way into discourse connectives catalogs.
Thus, the authors of the AltLex corpus decided to develop a method to identify a larger amount of AltLex expressions with causal meaning.	The AltLex corpus authors therefore chose to create an approach for discovering more AltLex expressions that convey causal meaning.	As a result, those who created the AltLex corpus opted to devise a technique that would locate a greater number of causal AltLex expressions.	This led the AltLex corpus creators to establish a methodology for finding increased quantities of AltLex expressions with causal semantics.	Consequently, the researchers behind the AltLex corpus resolved to formulate a procedure to detect more numerous AltLex expressions carrying causal significance.
The corpus construction leveraged Simple Wikipedia, by aligning sentences from Wikipedia that consist of unknown lexical causal markers with sentences from Simple Wikipedia that contain corresponding known lexical causal markers.	By aligning Wikipedia sentences containing unknown lexical causal markers with Simple Wikipedia sentences that have corresponding known lexical causal markers, the corpus construction utilized Simple Wikipedia.	Simple Wikipedia was employed in corpus construction through the alignment of sentences featuring unknown lexical causal markers from Wikipedia with their Simple Wikipedia counterparts that include known lexical causal markers.	The construction of the corpus involved using Simple Wikipedia to align sentences containing known lexical causal markers with Wikipedia sentences that featured unknown lexical causal markers.	Simple Wikipedia served as the foundation for corpus construction, where sentences with known lexical causal markers were aligned against Wikipedia sentences containing unknown lexical causal markers.
Once a first set of causal and non-causal sentences were identified, a bootsrapping method was applied to enhance the corpus.	After identifying an initial collection of causal and non-causal sentences, a bootsrapping method was employed to expand the corpus.	A bootsrapping method was utilized to augment the corpus following the identification of an initial group of causal and non-causal sentences.	The corpus was enhanced through the application of a bootsrapping method after causal and non-causal sentences had been identified in the first set.	Following the detection of causal and non-causal sentences in the initial dataset, the corpus underwent enhancement via a bootsrapping method.
We call “non bootstrapping” to the first version of the corpus and “bootstrapping” to the second one.				
The corpus size is shown in Table 3.	Table 3 displays the corpus size.	In Table 3, the corpus size is presented.	The size of the corpus can be found in Table 3.	Table 3 contains information about the corpus size.
For further details see (Hidey and McKeown, 2016).				
The class distribution of the lexical markers should be studied, because one of the features of the corpus is the annotation of the lexical markers susceptible of expressing causation.	Since the corpus features annotation of lexical markers susceptible of expressing causation, an examination of their class distribution becomes necessary.	Research into the class distribution of the lexical markers is warranted, given that the corpus includes annotation of those lexical markers susceptible of expressing causation.	An investigation of how the lexical markers are distributed across classes is essential, as the corpus is characterized by its annotation of lexical markers susceptible of expressing causation.	Given that annotating lexical markers susceptible of expressing causation represents a key feature of the corpus, analyzing their class distribution is important.
Table 4 shows the class distribution of the lexical markers, as well as the the number of unarguable ones and the number of lexical markers with mostly a different meaning in the training and the test set.	The class distribution of lexical markers is presented in Table 4, which also displays the count of unarguable markers and those lexical markers whose meaning differs predominantly between training and test sets.	Table 4 presents the distribution across classes for lexical markers, alongside counts for unarguable instances and lexical markers that exhibit primarily different meanings when comparing training versus test sets.	In Table 4, one can find the lexical markers' class distribution, plus the quantity of unarguable cases and the count of lexical markers that carry mostly different meanings across the training and test datasets.	The distribution of lexical markers by class appears in Table 4, together with the total of unarguable ones and the tally of lexical markers that predominantly possess different meanings between the training set and test set.
According to the Table 4, there are few ambiguous connectives, 121 in the “non bootstrapping” corpus and 147 in the “bootstrapping” version.				
"However, there is an important difference between the two versions of
5
Bootstrapping
No Yes
Total 8214 8854 Unambiguous in Causal class 922 1034 Unambiguous in Non Causal class 7171 7673 Causal in train, Non Causal in test 0 27 Non Causal in train, Causal in test 0 8
Table 4: Distribution of the lexical markers
the corpus: there are no differences between the training and the test set in the “non bootstrapping” version, but there are in the “bootstrapping” one."				
This fact means that the “bootstrapping” version of the corpus has some instances that do not follow the class distribution of the training set, so they represent a higher difficulty for the classification system.	"The ""bootstrapping"" version of the corpus contains instances that deviate from the training set's class distribution, creating greater challenges for the classification system."	"What this means is that some instances within the ""bootstrapping"" corpus version fail to align with the training set's class distribution, thereby posing increased difficulty for the classification system."	"The implication of this fact is that the ""bootstrapping"" corpus version includes instances whose class distribution differs from that of the training set, resulting in heightened complexity for the classification system."	"This fact indicates that within the ""bootstrapping"" corpus version, there exist instances that diverge from the class distribution observed in the training set, thus presenting enhanced challenges to the classification system."
Section 4.3 exposes the good performance of the proposed system in some of those instances.	The good performance of the proposed system in some of those instances is exposed in Section 4.3.	Within Section 4.3, the excellent performance exhibited by the proposed system in specific instances is shown.	Section 4.3 brings to light the effective performance of the proposed system in various instances.	
Kruengkrai et al.				
(2017) describe a Multi-column Convolutional Neural Network (CNN) that uses background knowledge for the identification of the causal meaning of an input sentence in Japanese.				
Convolutional networks excel at pattern learning in input data, however causation does not have a particular syntactic structure as it was mentioned.	While convolutional networks demonstrate exceptional ability in learning patterns from input data, causation lacks any specific syntactic structure, as previously noted.	Although convolutional networks are highly effective at discovering patterns within input data, causation possesses no distinct syntactic structure, as was stated earlier.	Convolutional networks show remarkable proficiency in pattern recognition from input data, yet causation is devoid of particular syntactic structure, as mentioned before.	Despite convolutional networks' superior capability for pattern learning in input data, causation exhibits no specific syntactic structure, as it was mentioned.
Moreover, CNN requires the definition of the kernel size, which means that we should know beforehand the length of the context that projects the causal meaning of the sentence.	Additionally, CNN necessitates specifying the kernel size, which implies we must have prior knowledge of how long the context should be to capture the sentence's causal meaning.	Furthermore, the kernel size must be defined for CNN, requiring us to know in advance the contextual length needed to project the sentence's causal meaning.	CNN also demands that the kernel size be predetermined, meaning we need advance understanding of the context length that will convey the causal meaning within the sentence.	In addition, defining the kernel size is necessary for CNN, which means prior knowledge is required regarding the context length that projects causal meaning in the sentence.
Nevertheless, the list of expressions that may represent a causal meaning is not limited and some sentences implicitly express causality.	However, expressions that can convey causal meaning are not restricted to a finite set, and causality may be expressed implicitly in certain sentences.	Still, there exists no exhaustive catalog of expressions capable of representing causal meaning, with some sentences conveying causality in an implicit manner.	Even so, expressions capable of representing causal meaning cannot be comprehensively enumerated, as some sentences express causality without explicit markers.	However, one cannot establish a complete inventory of expressions that may indicate causal meaning, since some sentences convey causality implicitly.
On the other hand, Long short-term memory (LSTM) recurrent neural networks (RNN) (Hochreiter and Schmidhuber, 1997) can encode the sequential information of the input text.				
Melamud et al.				
(2016) also showed that using an LSTM results in a more precise context encoding and substantially improve performance in several tasks upon the common average-of-wordsembeddings representation.	Additionally, (2016) demonstrated that LSTM implementation leads to enhanced context encoding precision and significantly boosts performance across multiple tasks compared to the standard average-of-wordsembeddings representation.	The research by (2016) further revealed that employing an LSTM produces more accurate context encoding while delivering considerable performance improvements in various tasks over the conventional average-of-wordsembeddings representation.	Furthermore, (2016) established that LSTM utilization achieves superior context encoding accuracy and markedly enhances task performance when contrasted with the typical average-of-wordsembeddings representation.	According to (2016), the application of an LSTM yields more refined context encoding and brings about substantial performance gains across several tasks relative to the ordinary average-of-wordsembeddings representation.
Therefore, we propose the use of LSTM RNN instead of a CNN, because we argue that LSTM has a higher capacity of encoding meaning for the task of causality classification.	We therefore suggest employing LSTM RNN rather than a CNN, as we contend that LSTM possesses superior capability for encoding meaning in causality classification tasks.	For this reason, LSTM RNN is our recommended approach over CNN, given our belief that LSTM demonstrates greater capacity for meaning encoding within causality classification.	Consequently, our proposal involves utilizing LSTM RNN as an alternative to CNN, since we maintain that LSTM exhibits enhanced ability to encode meaning for causality classification purposes.	As a result, we advocate for adopting LSTM RNN in place of CNN, arguing that LSTM offers superior meaning-encoding capacity when performing causality classification.
We propose a neural network architecture with two inputs, which is mainly based on the encoding of the two inputs with an LSTM and the use of several dense layers with a tanh activation function.	Our approach involves a neural network design featuring dual inputs, primarily utilizing LSTM encoding for both inputs combined with multiple dense layers that employ a tanh activation function.	A neural network structure with two inputs is introduced, fundamentally relying on LSTM-based encoding of both inputs and incorporating several dense layers activated by tanh functions.	The architecture we present consists of a dual-input neural network, where LSTM encoding processes both inputs and multiple dense layers with tanh activation function are subsequently applied.	We introduce a two-input neural network framework that primarily depends on encoding both inputs through LSTM units, followed by the implementation of various dense layers using tanh activation function.
"Following the assumption that some sort of relation should exist between the two events of a causal relation, the first evaluated model consists of two
connected LSTMs, or in other words, the LSTM network of the second event of the causal relation is initialized with the last state of the first LSTM."	Based on the premise that causal relations should involve some connection between their constituent events, the initial model under evaluation employs two linked LSTMs—specifically, the LSTM processing the second causal event begins with the final state from the first LSTM as its starting point.	Under the assumption that causally related events must share some form of connection, the first model we assess uses a pair of interconnected LSTMs where the second event's LSTM network receives its initial state from the concluding state of the first LSTM.	Given the assumption that causal relations necessitate some linkage between their two events, the primary model being evaluated implements two coupled LSTMs—the LSTM handling the second event in the causal sequence starts with the terminal state produced by the first LSTM.	Working from the assumption that events in causal relations should maintain some form of connection, the first model tested features two interlinked LSTMs, with the second event's LSTM network commencing from the final state generated by the first LSTM.
We call to this architecture “Stated Pair LSTM”.				
We also evaluated the same architecture but without the connection between the two LSTMs.	The identical architecture was also assessed, but with the connection between the two LSTMs removed.	Additionally, we tested this architecture after eliminating the connection between the two LSTMs.	An evaluation was also conducted using the same architecture, though the two LSTMs were disconnected.	We further examined this architecture by removing the linkage between the two LSTMs.
We call to this second architecture “Pair LSTM” and it is depicted in Figure 1.	"This second architecture, which we refer to as ""Pair LSTM"", is illustrated in Figure 1."	"Figure 1 shows this second architecture, which we have named ""Pair LSTM""."	"The second architecture is termed ""Pair LSTM"" by us and can be seen in Figure 1."	"""Pair LSTM"" is what we designate this second architecture, as shown in Figure 1."
According to Figure 1, the first input of the system is the first event of the relation, and the second input is the concatenation of the lexical marker and the second event.	Figure 1 shows that the system receives the first event of the relation as its initial input, while the second input consists of the lexical marker concatenated with the second event.	As illustrated in Figure 1, the initial system input corresponds to the relation's first event, whereas the subsequent input comprises the second event combined with the lexical marker.	Figure 1 demonstrates that the system's primary input is the relation's first event, and its secondary input represents the lexical marker joined with the second event.	Based on Figure 1, the relation's first event serves as the system's initial input, while the lexical marker and second event together form the second input.
The text processing starts with the tokenization of the two inputs, and the representation of them as a matrix of word embedding vectors.	Text processing begins by tokenizing both inputs and representing them as a matrix containing word embedding vectors.	The initial step in text processing involves tokenizing the pair of inputs and converting them into a matrix form using word embedding vectors.	Two inputs undergo tokenization as the first stage of text processing, after which they are represented through a matrix composed of word embedding vectors.	Text processing commences when both inputs are tokenized and subsequently transformed into a matrix representation utilizing word embedding vectors.
The set of pre-trained embeddings used was Glove (Pennington et al., 2014), specifically the 300 dimension reference vectors of the 840B cased tokens set.				
The lengths of the first (n) and the second (m) input are not the same, so three zero-padding strategies were evaluated to measure which of them is the most convenient to encode the causal meaning.	Since the first input (n) and second input (m) have different lengths, three zero-padding strategies underwent evaluation to determine which one most effectively encodes the causal meaning.	Three zero-padding strategies were assessed because the lengths of the first input (n) and second input (m) differ, with the goal of identifying the most suitable approach for encoding causal meaning.	Due to the unequal lengths between the first (n) and second (m) inputs, an evaluation of three zero-padding strategies was conducted to identify which approach best captures the causal meaning.	Given that the first (n) and second (m) inputs possess different lengths, three zero-padding strategies were tested to establish which one provides the most effective encoding of causal meaning.
"The maximum, the mean and mode of the length of the two inputs were calculated:
∀x ∈ IRn×d and ∀y ∈ IRm×d
pad(x) = {max(x),mean(x),mode(x)} (1)
where x and y are the first and second input and d is the length of the word embedding vectors."				
Subsequently, each of the two outputs of the encoding layer are vectorized to a vector of length 100 by a dense layer with a tanh activation function.	Following this, a dense layer with a tanh activation function vectorizes both outputs from the encoding layer into vectors of length 100.	After that, the encoding layer's two outputs are each transformed into 100-dimensional vectors through a dense layer that uses a tanh activation function.	Next, both outputs produced by the encoding layer undergo vectorization via a dense layer with a tanh activation function, resulting in vectors of length 100.	The encoding layer's pair of outputs are then converted to vectors of length 100 using a dense layer that employs a tanh activation function.
The context of the causal relation is represented by the concatenation of the two vectors.	The concatenation of the two vectors represents the context of the causal relation.	By concatenating the two vectors, the context of the causal relation is represented.	The causal relation's context finds its representation through the concatenation of the two vectors.	Through concatenating the two vectors, one can represent the context of the causal relation.
"∀W ∈ IR100×nd and ∀ b ∈ IR100
vec(x) : IRn×d → IRnd
tanh(W · x+ b) context : (vec(x), vec(y))
(2)
6
The output of the Equation 2 is processed by three dense layers activated by a tanh function."				
The last layer is composed of the softmax operation.	The softmax operation forms the final layer.	The final layer consists of the softmax operation.	What comprises the ultimate layer is the softmax operation.	The concluding layer is built from the softmax operation.
The performance of two learning optimizers was evaluated, specifically Adadelta (Zeiler, 2012) and Adam (Kingma and Ba, 2015).				
In order to avoid the overfitting of the classification process, different values for dropout ([0.5, 0.75]) and regularization were used ( [ 8 · 10−3, 8 · 10−6 ] ).				
As far as we know, the AltLex corpus has been only used in the work in which it was presented (Hidey and McKeown, 2016), therefore we consider their method as the state of the art on that corpus.	To our knowledge, the AltLex corpus has seen application solely in the research where it was originally introduced (Hidey and McKeown, 2016), leading us to regard their approach as the current state of the art for this corpus.	Based on our understanding, no studies beyond the original presentation by Hidey and McKeown (2016) have utilized the AltLex corpus, which is why we treat their methodology as the benchmark performance on this dataset.	The AltLex corpus, to the best of our knowledge, has not been employed in any research other than the initial work that introduced it (Hidey and McKeown, 2016), so we view their technique as representing the state of the art for this particular corpus.	Our research indicates that the AltLex corpus has found usage exclusively in the study that first presented it (Hidey and McKeown, 2016), which leads us to consider their method the current gold standard for this corpus.
Moreover, as it has been mentioned several times, the task of causality classification lacks of representative or large enough corpus that covers a wide range of causal expressions, as well as without the restriction of being composed of specific causal constructions.	Furthermore, as noted repeatedly, causality classification suffers from the absence of a sufficiently representative or extensive corpus that encompasses diverse causal expressions while avoiding limitations to particular causal constructions.	Additionally, the causality classification challenge is hampered by the unavailability of adequately large or representative datasets that span broad causal expression types without being constrained to specific causal constructions, as has been observed multiple times.	As has been emphasized on numerous occasions, causality classification faces the problem of insufficient corpus size and representativeness, failing to capture the full spectrum of causal expressions beyond specific causal constructions.	The causality classification field confronts a significant obstacle, repeatedly highlighted, in its lack of comprehensive corpora that adequately represent varied causal expressions without being limited to particular causal constructions.
Therefore, the methods were only evaluated with the AltLex corpus.	As a result, evaluation of the methods was conducted exclusively using the AltLex corpus.	Consequently, these methods underwent evaluation only through the AltLex corpus.	The evaluation process was limited to the AltLex corpus alone for these methods.	Only the AltLex corpus was used to assess the performance of the methods.
We have used the two versions of the corpus (“non bootstrapping” and “bootstrapping”) in our experiments.				
The size of each of them is shown in Table 3.	Table 3 displays the size of each of them.	Each one's size is presented in Table 3.	Table 3 illustrates how large each of them is.	The dimensions of each are provided in Table 3.
We consider two baselines in order to compare our proposal.	To evaluate our proposal, we examine two baselines for comparison purposes.	For comparative analysis of our proposal, two baselines are taken into account.	Two baselines serve as benchmarks against which we assess our proposal.	In comparing our proposal, we utilize two baselines as reference points.
The first one (B1) is founded on the use of the most common class of each causal connective according to its class in the training data.	B1 is based on selecting the most frequently occurring class for each causal connective as determined by its classification in the training data.	The initial approach (B1) relies on employing the predominant class associated with every causal connective based on how it appears in the training data.	B1 operates by utilizing the most prevalent class that corresponds to each causal connective within the training data classification.	The foundation of the first method (B1) lies in applying the most frequent class assigned to each causal connective in the training dataset.
For example, if the lexical marker since has mostly a causal meaning, B1 always classifies the relation signalled by since as Causal.	For instance, when the lexical marker since primarily conveys a causal meaning, B1 consistently categorizes the relation indicated by since as Causal.	To illustrate, should the lexical marker since predominantly express causation, B1 will invariably label the relation marked by since as Causal.	As an example, whenever the lexical marker since carries mainly a causal sense, the relation that since signals gets classified by B1 as Causal without exception.	Consider the case where the lexical marker since typically indicates causation—B1 will systematically identify the relation expressed by since as Causal.
A similar approach was also used in (Hidey and McKeown, 2016).				
The second baseline (B2) is the system of Hidey and McKeown (2016), which is based on SVM with a large set of features generated from the combination of features from the original parallel corpus and some lexical resources (WordNet, VerbNet and PropBank).				
The fact of relying on lexical resources restricts the recall of the system to the linguistic coverage of the lexical resources.	System recall becomes limited by the linguistic coverage that lexical resources provide when the system depends on them.	When a system depends on lexical resources, its recall cannot exceed the linguistic coverage these resources offer.	The linguistic coverage of lexical resources determines the upper bound of recall for any system that relies on them.	Dependence on lexical resources means that system recall will be constrained by whatever linguistic coverage those resources contain.
In contrast, we propose a neural network architecture fed only by a set of word embedding vectors, which has a higher ability of generalization as it is shown later in the paper.	We propose, on the other hand, a neural network architecture that receives input exclusively from word embedding vectors, demonstrating superior generalization capabilities as evidenced in subsequent sections of the paper.	Our approach differs by introducing a neural network architecture that takes only word embedding vectors as input, exhibiting enhanced generalization ability according to results presented later in this work.	Alternatively, our proposed neural network architecture operates solely on word embedding vectors, and its superior generalization capacity will be demonstrated in the following sections of the paper.	Rather than existing methods, we present a neural network architecture that processes exclusively word embedding vectors, showing improved generalization performance as will be illustrated later in the paper.
"The results reached by our system are shown in
Table 5.1 The Precision, Recall and F1 values were used to measure the performance of the system in the Causal Class, and the Accuracy to measure the overall performance of the system."	Table 5.1 displays the results obtained by our system, where Precision, Recall and F1 values served as performance metrics for the Causal Class, while Accuracy measured the system's overall performance.	Our system's outcomes are presented in Table 5.1, with the Causal Class performance evaluated using Precision, Recall and F1 values, and the system's general performance assessed through Accuracy.	Table 5.1 presents the findings achieved by our system, utilizing Precision, Recall and F1 values as metrics for Causal Class performance evaluation, and Accuracy for overall system performance assessment.	The outcomes obtained from our system appear in Table 5.1, where performance measurement involved Precision, Recall and F1 values for the Causal Class, with Accuracy serving to evaluate overall system effectiveness.
The performance of B1 defines a hard baseline for the two versions of the corpus.	B1's performance establishes a hard baseline that applies to both corpus versions.	A hard baseline for the two corpus versions is defined by how B1 performs.	Both versions of the corpus have their hard baseline determined by B1's performance.	The hard baseline applicable to the two corpus versions gets defined through B1's performance.
On the other hand, the good performance of B1 might indicate that the training corpus is composed of few unambiguous causal connectives.	Conversely, B1's strong performance could suggest that the training corpus contains only a limited number of unambiguous causal connectives.	In contrast, the effective results achieved by B1 may signal that unambiguous causal connectives are scarce within the training corpus.	However, B1's excellent performance potentially reveals that the training corpus includes few unambiguous causal connectives.	From another perspective, the fact that B1 performs well could imply that unambiguous causal connectives appear infrequently in the training corpus.
Concerning the results reached by the proposed systems, all the configurations in Table 5 outperform the baseline B1, which means that the system learns beyond the class distribution of the lexical markers in the training data.	Regarding the outcomes achieved by the proposed systems, every configuration shown in Table 5 surpasses baseline B1, indicating that the system acquires knowledge that extends beyond the class distribution of lexical markers found in the training data.	With respect to the findings obtained through the proposed systems, each configuration presented in Table 5 exceeds the performance of baseline B1, demonstrating that the system's learning transcends the class distribution of lexical markers within the training data.	The proposed systems' results show that baseline B1 is outperformed by all configurations listed in Table 5, suggesting the system's ability to learn extends past the class distribution of lexical markers present in the training data.	All configurations documented in Table 5 achieve superior performance compared to baseline B1, as evidenced by the proposed systems' results, which confirms that learning occurs beyond the class distribution of lexical markers in the training data.
Those configurations that use Adadelta as optimizer outperform the system B2 in the “non bootstrapping” version of the corpus.	"In the ""non bootstrapping"" version of the corpus, configurations employing Adadelta as optimizer achieve better performance than system B2."	"System B2 is outperformed by configurations that utilize Adadelta as optimizer when evaluated on the ""non bootstrapping"" version of the corpus."	"Configurations with Adadelta as optimizer demonstrate superior results compared to system B2 on the ""non bootstrapping"" version of the corpus."	"When using the ""non bootstrapping"" version of the corpus, system B2 performs worse than configurations that employ Adadelta as optimizer."
The behaviour of B2 shows a big difference between Precision and Recall, indicating that the system has many false positives, i.e.	B2's performance reveals a significant gap between Precision and Recall, suggesting the presence of numerous false positives in the system, i.e.	A substantial disparity between Precision and Recall is evident in B2's behaviour, which points to the system generating many false positives, i.e.	The performance pattern of B2 demonstrates a large discrepancy between Precision and Recall, implying that false positives are abundant in the system, i.e.	B2 exhibits behaviour characterized by a considerable difference between Precision and Recall, which signals that the system produces many false positives, i.e.
a large number of sentences without a causal meaning.	numerous sentences that lack causal meaning	many sentences devoid of causal significance	an extensive collection of sentences where causal meaning is absent	sentences in great quantity that do not possess causal meaning
This is not a desirable behaviour.	Such behaviour is not desirable.			
On the other hand, our system has a high Precision with lower Recall, indicating it mainly classifies correctly sentences with unambiguous connectives.	Conversely, our system demonstrates high Precision but lower Recall, suggesting it predominantly identifies sentences containing unambiguous connectives with accuracy.	In contrast, our system exhibits high Precision alongside reduced Recall, which shows it primarily succeeds in correct classification when sentences contain unambiguous connectives.	However, our system achieves high Precision while showing lower Recall, revealing that it chiefly performs accurate classification for sentences featuring unambiguous connectives.	By comparison, our system displays high Precision coupled with diminished Recall, implying that correct classification occurs mainly when sentences have unambiguous connectives.
Figure 2 shows that the most frequent connectives in the Causal class do not have any instance in the Non Causal class, which supports our last assertion.	The data in Figure 2 demonstrates that connectives appearing most frequently in the Causal class are completely absent from the Non Causal class, thereby validating our previous claim.	As evidenced by Figure 2, the connectives with highest frequency in the Causal class show zero occurrences in the Non Causal class, confirming our earlier statement.	Figure 2 reveals that none of the most commonly occurring connectives in the Causal class appear within the Non Causal class, lending support to our preceding assertion.	Our previous assertion gains support from Figure 2, which illustrates that the Non Causal class contains no instances of the connectives that occur most frequently in the Causal class.
The best configuration (“Pair LSTM Max Adadelta”) uses the maximum operation for the zero-padding strategy and Adadelta as learning optimizer.				
Our proposal in this scenario improves the state of the art by 2.13% according to F1 in the Causal class (C) and 7.72% according to Accuracy.				
We observe a similar trend in the performance of the system with the “bootstrapping” version of the corpus, i.e.				
the system architecture “Pair LSTM” tends to reach better results than the architecture “Stated LSTM”.				
This behaviour means that our assumption about the relation between the meanings of the two input events does not hold, so it is better to encode each argument independently and then to measure the relation between the arguments by using dense layers.	Since this behaviour indicates our assumption regarding how the two input events' meanings relate is invalid, independently encoding each argument before measuring their relation through dense layers proves more effective.	The observed behaviour demonstrates that our assumed relationship between the meanings of both input events is incorrect, making it preferable to encode arguments separately and subsequently assess their relationship via dense layers.	Because this behaviour reveals our assumption concerning the semantic relationship of the two input events is false, a superior approach involves encoding arguments individually followed by relation measurement using dense layers.	Given that this behaviour shows our assumption about how the meanings of the two input events connect is flawed, we should instead encode each argument on its own and then employ dense layers to measure the relationship between them.
Concerning the optimizers, the results show a similar behaviour in both architectures.	The results demonstrate comparable behavior across both architectures when examining the optimizers.	With regard to the optimizers, both architectures exhibit similar behavior according to the results.	The optimizers produce results that reveal analogous behavior patterns in each of the two architectures.	Both architectures display similar behavior in the results when the optimizers are considered.
"The Adadelta optimizer promotes the Recall and penalizes Precision, whereas the system reaches a higher value of Precision and a smaller difference between Precision and Recall
1For the sake of brevity, those systems that performed worse than B1 and B2 are not in Table 5."	While the Adadelta optimizer enhances Recall at the expense of Precision, the system achieves superior Precision with a reduced gap between Precision and Recall	The Adadelta optimizer boosts Recall while reducing Precision, yet the system attains elevated Precision alongside a narrower disparity between Precision and Recall	In contrast to the Adadelta optimizer, which elevates Recall but diminishes Precision, the system produces greater Precision with reduced divergence between Precision and Recall	Where the Adadelta optimizer increases Recall and decreases Precision, the system conversely delivers enhanced Precision and tighter convergence between Precision and Recall
