originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
Adding PPDB-specific features CONTEXTPPDB comes with rich information about word pairs drawn from PPDB (Pavlick et al., 2015a,b).				
These features include scores for likelihood of context-agnostic entailment labels, distributional similarities, and probabilities of the word pair being paraphrases, among other scores.				
Shwartz and Dagan (2015) establish a strong baseline of 67 F1 using these features and the most salient word/context similarities described in Section 4.2.	Using these features along with the most salient word/context similarities from Section 4.2, Shwartz and Dagan (2015) achieve a robust baseline performance of 67 F1.	A strong baseline of 67 F1 is established by Shwartz and Dagan (2015) through the application of these features and the most salient word/context similarities outlined in Section 4.2.	The work by Shwartz and Dagan (2015) demonstrates a solid baseline result of 67 F1 by employing these features alongside the most salient word/context similarities detailed in Section 4.2.	By utilizing these features and incorporating the most salient word/context similarities presented in Section 4.2, Shwartz and Dagan (2015) set a strong baseline at 67 F1.
Augmenting this system with our proposed context-aware similarities, we observe an improvement of ~2 F1 points.				
The contextualized representations further gives a ~3 point boost.				
Overall, our new context aware features help in improving upon the previous state-of-the-art by 4.8 F1 points.				
We repeat all experiments on CONTEXT-WN (Table 4), except for those that require PPDB-specific features.				
The trends on CONTEXT-WN are similar to those on CONTEXT-PPDB.				
Using similarity features with the context-agnostic baseline, improves performance by ~4 F1 points.				
"Adding the context-aware representations, further gives a tiny boost, enabling us to score 5 F1 points more than
6
Word Type Features Context-aware Features Scores Similarities Representations P R F
7 All [~wl,mask ; ~wr,mask] 0.674 0.694 0.677 [~wl ; ~wr] 7 7 0.531 0.539 0.535 [~wl ; ~wr] 7 [~wl,mask ; ~wr,mask] 0.512 0.521 0.516 [~wl ; ~wr] All 7 0.642 0.642 0.642 [~wl ; ~wr] All [~wl,mask ; ~wr,mask] 0.638 0.637 0.637 [~wl ; ~wr] All [~cl,c2v ; ~cr,c2v] 0.605 0.604 0.603
[~wl,c2v ; ~wr,c2v] 7 7 0.533 0.569 0.540 [~wl,c2v ; ~wr,c2v] 7 [~wl,mask ; ~wr,mask] 0.518 0.545 0.526 [~wl,c2v ; ~wr,c2v] All 7 0.655 0.674 0.659 [~wl,c2v ; ~wr,c2v] All [~wl,mask ; ~wr,mask] 0.652 0.670 0.656 [~wl,c2v ; ~wr,c2v] All [~cl,c2v ; ~cr,c2v] 0.601 0.601 0.600 PPDB(wl, wr) Most salient only 7 0.677 0.685 0.670 PPDB(wl, wr) All 7 0.695 0.701 0.692 PPDB(wl, wr) All [~wl,mask ; ~wr,mask] 0.721 0.720 0.718
Table 3: Experimental results on CONTEXT-PPDB."				
The evaluation metric is weighted F score.	The weighted F score serves as the evaluation metric.	For evaluation purposes, the weighted F score is used as the metric.	We employ the weighted F score as our evaluation metric.	The metric used for evaluation is the weighted F score.
the baseline.				
Again, we observe that using ~cl,c2v and ~cr,c2v does worse than the alternatives.				
The absolute value of gains on CONTEXT-WN is smaller than on CONTEXT-PPDB, as can be expected, given that CONTEXT-WN was designed to be challenging (Section 5.2).				
Results on the cross-lingual dataset are similar to monolingual results (Table 5).				
Context-aware features outperform context-agnostic baselines - similarities boost the score by 3 and 6 points in the BiVec and BiCVM settings respectively.	In both BiVec and BiCVM settings, context-aware features deliver superior performance compared to context-agnostic baselines, with similarities providing score improvements of 3 and 6 points respectively.	The incorporation of similarities leads to enhanced performance in context-aware features over context-agnostic baselines, yielding increases of 3 points for BiVec and 6 points for BiCVM settings.	Superior results are achieved by context-aware features against context-agnostic baselines, where similarities contribute to score enhancements of 3 and 6 points in BiVec and BiCVM settings correspondingly.	When compared to context-agnostic baselines, context-aware features demonstrate better performance, with similarities driving score gains of 3 points in BiVec settings and 6 points in BiCVM settings.
The contextualized word representations, when used instead of the context-agnostic representations, give a boost of almost 3 points, allowing us to score 6 points and 10 points above the context-agnostic baseline in the BiVec and BiCVM cases, respectively.	When contextualized word representations replace context-agnostic representations, they provide nearly a 3-point improvement, enabling us to achieve scores that are 6 points and 10 points higher than the context-agnostic baseline for BiVec and BiCVM respectively.	Substituting context-agnostic representations with contextualized word representations yields an enhancement of approximately 3 points, resulting in performance gains of 6 points for BiVec and 10 points for BiCVM over the context-agnostic baseline.	By replacing context-agnostic representations with contextualized word representations, we observe a boost of nearly 3 points, which translates to surpassing the context-agnostic baseline by 6 points in BiVec and 10 points in BiCVM.	The implementation of contextualized word representations in place of context-agnostic representations delivers almost a 3-point increase, producing scores that exceed the context-agnostic baseline by 6 points and 10 points in the BiVec and BiCVM scenarios, respectively.
The strength of these results attest to the generalizable nature of our features, which helps capture correspondences beyond a single language.	The power of these findings confirms the universal applicability of our features, allowing for correspondence detection that transcends individual languages.	These compelling findings reveal the generalizable properties of our features, empowering them to detect correspondences that span multiple linguistic systems.	The significance of these results underscores how our features exhibit generalizable traits, thereby supporting correspondence recognition beyond any individual language.	Such powerful results bear witness to the generalizable aspects of our features, making possible the capture of correspondences across various languages.
The experiments in Section 7 attest to the overall strength of our features.	Our features' overall strength is demonstrated by the experiments presented in Section 7.	The comprehensive power of our features receives validation from the experiments conducted in Section 7.	Section 7's experimental findings bear witness to our features' overall capability.	The experiments outlined in Section 7 serve as testimony to our features' overall performance.
In this section, we aim to further test the assumptions underlying our proposed context representations.	This section seeks to conduct additional testing of the assumptions that form the foundation of our proposed context representations.	Our goal in this section is to provide further validation of the assumptions that underpin the context representations we have proposed.	We intend to subject the assumptions behind our proposed context representations to additional scrutiny in this section.	Further examination of the assumptions supporting our proposed context representations constitutes the primary objective of this section.
How sensitive are our models to changes in contexts?	To what extent do context modifications affect our models?	What degree of sensitivity do our models exhibit when contexts undergo changes?	To what degree are our models influenced by modifications in their surrounding contexts?	How much do alterations in contexts influence the behavior of our models?
"To answer this, we focus on the subset of
CONTEXT-WN that comprises of positive examples, and the equivalent number of negative examples from Step 3 of the dataset creation."	We address this by examining the positive examples within the CONTEXT-WN subset, along with an equal quantity of negative examples derived from Step 3 of the dataset creation process.	Our approach involves concentrating on CONTEXT-WN's positive example portion and matching it with the same count of negative examples generated during Step 3 of dataset construction.	The response to this question requires analyzing the positive instances found in the CONTEXT-WN subset, paired with an equivalent amount of negative instances from the third step of dataset development.	We tackle this by directing attention to those positive cases within CONTEXT-WN, alongside a corresponding number of negative cases obtained from Step 3 in the dataset creation procedure.
These examples are created by permuting the contexts of the positive examples, and thus, can directly help in answering our question.	By permuting the contexts of the positive examples, these examples are generated and can therefore provide direct assistance in addressing our question.	Our question can be directly addressed through these examples, which are formed by permuting the contexts of the positive examples.	Through permutation of the positive examples' contexts, these examples come into being and offer direct aid in resolving our question.	The creation of these examples involves permuting the contexts of the positive examples, which means they can offer immediate help with our question.
We analyze the predictions made on this subset by our model using a metric we call ‘Macro-F1’, defined as the weighted F1 calculated over each (wl,wr) word pair, and then averaged over all word pairs.				
Models using context-aware features do consistently better on Macro-F1 than those without (Table 4).				
Interestingly though, the model that uses [~cl,c2v ; ~cr,c2v] does the best on this metric, indicating that while directly using the Context2Vec representations might not be ideal, these representation do capture some useful contextual knowledge.				
To quantitatively evaluate our claim of our features learning to discriminate directionality 4, we report results on the subset of CONTEXT-WN that consists of all positive examples, and the equivalent number of flipped negative examples generated in Step 4.	We present findings on the CONTEXT-WN subset containing all positive instances and an equal quantity of flipped negative instances from Step 4 to provide quantitative assessment of our assertion that our features acquire directionality discrimination capabilities.	For quantitative validation of our assertion regarding features acquiring directionality discrimination abilities, we present outcomes using the CONTEXT-WN portion that includes every positive case alongside the same number of flipped negative cases produced during Step 4.	Results are reported on a CONTEXT-WN subset encompassing all positive samples and a matching count of flipped negative samples from Step 4 to numerically verify our claim about features developing directionality discrimination skills.	Our quantitative analysis of the claim that features develop directionality discrimination is supported by results from the CONTEXT-WN subset, which comprises all positive examples plus an equivalent number of Step 4-generated flipped negative examples.
We measure directionality by looking at the number of example pairs ((wl, wr, cl, cr), (wr, wl, cr, cl)) where both examples are correctly labeled, i.e.				
the former is labeled as =⇒ and the latter as 6=⇒ .				
Context agnostic baselines detect direction significantly above chance (Table 4).				
"Adding our
7
Word Type Feat.s Context-aware Features Scores Similarities Representations P R F Macro F1 Pairwise Acc."	Our 7 Word Type Feat.s Context-aware Features Scores Similarities Representations P R F Macro F1 Pairwise Acc. are being added	The addition of our 7 Word Type Feat.s Context-aware Features Scores Similarities Representations P R F Macro F1 Pairwise Acc. occurs	Our 7 Word Type Feat.s Context-aware Features Scores Similarities Representations P R F Macro F1 Pairwise Acc. get incorporated	Our 7 Word Type Feat.s Context-aware Features Scores Similarities Representations P R F Macro F1 Pairwise Acc. are supplemented
"Random 0.5 0.5 0.5 0.5 0.25 7 All [~wl,mask ; ~wr,mask] 0.700 0.661 0.670 0.677 0.623
[~wl ; ~wr] 7 7 0.653 0.615 0.625 0.594 0.582 [~wl ; ~wr] 7 [~wl,mask ; ~wr,mask] 0.656 0.618 0.628 0.608 0.592 [~wl ; ~wr] All 7 0.700 0.663 0.672 0.651 0.597 [~wl ; ~wr] All [~wl,mask ; ~wr,mask] 0.704 0.666 0.675 0.673 0.617 [~wl ; ~wr] All [~cl,c2v ; ~cr,c2v] 0.692 0.658 0.667 0.682 0.592
[~wl,c2v ; ~wr,c2v] 7 7 0.695 0.655 0.664 0.663 0.667 [~wl,c2v ; ~wr,c2v] 7 [~wl,mask ; ~wr,mask] 0.694 0.655 0.665 0.668 0.660 [~wl,c2v ; ~wr,c2v] All 7 0.728 0.689 0.697 0.704 0.700 [~wl,c2v ; ~wr,c2v] All [~wl,mask ; ~wr,mask] 0.724 0.685 0.694 0.704 0.691 [~wl,c2v ; ~wr,c2v] All [~cl,c2v ; ~cr,c2v] 0.713 0.678 0.687 0.708 0.638
Table 4: Results on CONTEXT-WN."				
Macro-F1 and Pairwise accuracy, are intended to capture contextawareness and directionality-discrimination abilities of our features, repsectively.				
"Word Type Features Context-aware Features Scores Similarities Representations P R F Random 0.570 0.481 0.501
[~wl,bivec ; ~wr,bivec] 7 7 0.618 0.537 0.560 [~wl,bivec ; ~wr,bivec] 7 [~wl,mask ; ~wr,mask] 0.618 0.537 0.560 [~wl,bivec ; ~wr,bivec] All 7 0.632 0.576 0.595 [~wl,bivec ; ~wr,bivec] All [~wl,mask ; ~wr,mask] 0.620 0.554 0.575
7 All [~wl,mask ; ~wr,mask] 0.650 0.607 0.622 [~wl,bicvm ; ~wr,bicvm] 7 7 0.651 0.517 0.530 [~wl,bicvm ; ~wr,bicvm] 7 [~wl,mask ; ~wr,mask] 0.655 0.528 0.543 [~wl,bicvm ; ~wr,bicvm] All 7 0.681 0.574 0.590 [~wl,bicvm ; ~wr,bicvm] All [~wl,mask ; ~wr,mask] 0.682 0.566 0.581
7 All [~wl,mask ; ~wr,mask] 0.676 0.614 0.629
Table 5: Results on cross-lingual dataset with training on CONTEXT-PPDB using bilingual embeddings."				
context features improves by ~3, with the overall best performing model again scoring highest on this metric.				
It is reassuring to observe that improved detection of context with our features does not come at the cost of detecting entailment direction.	We find it comforting that enhanced context detection through our features doesn't compromise the ability to identify entailment direction.	The fact that better context detection via our features maintains entailment direction detection capabilities is encouraging.	We take comfort in seeing that our features enhance context detection without undermining entailment direction identification.	The simultaneous improvement in context detection and retention of entailment direction detection through our features is encouraging.
Unlike in the previous section, the model that uses [~cl,c2v ; ~cr,c2v] is consistently poor, scoring lower than the corresponding context-agnostic baseline.				
We also hypothesized that masked contextualized representations based on the full volume of the context using min and max operations (Section 3.1) better capture salient context dimensions than the more usual vector averaging approach.	Our hypothesis was that masked contextualized representations utilizing min and max operations across the complete contextual volume (Section 3.1) would more effectively identify important contextual dimensions compared to conventional vector averaging methods.	Additionally, we theorized that applying min and max operations to masked contextualized representations drawn from the entire context (Section 3.1) would superior capture key contextual aspects relative to standard vector averaging techniques.	We further proposed that masked contextualized representations employing min and max operations on the full contextual scope (Section 3.1) would outperform typical vector averaging in capturing crucial context dimensions.	Another hypothesis we formed was that using min and max operations for masked contextualized representations across all available context (Section 3.1) would better extract significant contextual features than traditional vector averaging approaches.
"We test this hypothesis empirically by replacing
masked word-in-context representations ~wl,mask and ~wr,mask by two other ways to capture context."				
In the first method, we use the mean of the contexts (~cl,mean,~cr,mean).				
In the second method, we use (~wl,mean, ~wr,mean), i.e.				
the masked representations calculated by using only the mean.	The masked representations computed through the use of only the mean.	Masked representations that are calculated by employing solely the mean.	The mean alone is used to calculate the masked representations.	Masked representations derived exclusively from mean-based calculations.
On both CONTEXT-PPDB and CONTEXT-WN, our preferred method outperforms the two alternatives by 2-3 F1 points.				
In fact, on CONTEXT-WN we can see that our method also captures directionality best.	Our method demonstrates superior directionality capture on CONTEXT-WN as well, as the results clearly show.	The CONTEXT-WN results reveal that our approach excels at capturing directionality compared to other methods.	When examining CONTEXT-WN, it becomes evident that our method outperforms others in capturing directionality.	The evidence from CONTEXT-WN indicates that our approach surpasses alternative methods in directionality detection.
"WordNet and lexical entailment The is-a hierarchy of WordNet (Fellbaum, 1998b) is a prominent source of information for unsupervised detection of hypernymy and entailment (Harabagiu
8
Dataset Context aware features Scores Similarities Representations P R F Macro F1 Pairwise Acc."	The hierarchical is-a structure found in WordNet (Fellbaum, 1998b) serves as a key resource for automatically identifying hypernymy and entailment without supervision (Harabagiu	For unsupervised hypernymy and entailment detection, WordNet's is-a hierarchy (Fellbaum, 1998b) represents an important information source (Harabagiu	A major source of information for detecting hypernymy and entailment in an unsupervised manner is WordNet's is-a hierarchical structure (Fellbaum, 1998b) (Harabagiu	WordNet's is-a taxonomy (Fellbaum, 1998b) constitutes a significant resource that enables unsupervised hypernymy and entailment recognition (Harabagiu
"CONTEXT-PPDB All [~wl,mean ; ~wr,mean] 0.646 0.672 0.643
NA NAAll [~cl,mean ; ~cr,mean] 0.655 0.678 0.652 All [~wl,mask ; ~wr,mask] 0.674 0.694 0.677
CONTEXT-WN All [~wl,mean ; ~wr,mean] 0.674 0.635 0.645 0.641 0.577 All [~cl,mean ; ~cr,mean] 0.688 0.648 0.657 0.665 0.608 All [~wl,mask ; ~wr,mask] 0.700 0.661 0.670 0.677 0.623
Table 6: Impact of masks on CONTEXT-PPDB and CONTEXT-WN."				
and Moldovan, 1998; Shwartz et al., 2015), as well as a source of various datasets (Baroni and Lenci, 2011; Baroni et al., 2012).				
The dataset we introduce in this work is inspired by the latter line of work, but instead of just extracting word pairs we also obtain exemplar contexts from WordNet.	Our introduced dataset draws inspiration from the latter research direction, but we additionally extract exemplar contexts from WordNet rather than limiting ourselves to word pairs alone.	While the dataset presented in this study follows the latter research approach, it extends beyond mere word pair extraction by also capturing exemplar contexts from WordNet.	The latter line of work serves as inspiration for our dataset, though we go further by incorporating exemplar contexts from WordNet alongside the extracted word pairs.	Although our dataset builds upon the latter research tradition, we enhance the approach by supplementing word pair extraction with exemplar contexts derived from WordNet.
Modeling word meaning in context Several approaches have been proposed to model the meaning of a word in a given context to capture semantic equivalence in tasks such as lexical substitution, word sense disambiguation or paraphrase ranking (but not entailment).	Multiple methods have been developed for representing contextual word meanings, enabling the capture of semantic equivalence across applications like paraphrase ranking, lexical substitution, and word sense disambiguation (but not entailment).	Various techniques for contextual word meaning representation have been suggested, aimed at modeling semantic equivalence in areas including word sense disambiguation, paraphrase ranking, and lexical substitution (but not entailment).	To model how words convey meaning within specific contexts, researchers have introduced several approaches that address semantic equivalence challenges in lexical substitution, paraphrase ranking, and word sense disambiguation (but not entailment).	Different methodologies have emerged for capturing the contextual semantics of words, designed to handle semantic equivalence in tasks like word sense disambiguation, lexical substitution, and paraphrase ranking (but not entailment).
One line of work (Dinu and Lapata, 2010; Reisinger and Mooney, 2010) treats each word as a set of latent word senses.				
These models methods start with token representations for individual occurrences of a word and then choose a set of token vectors based on the current context.	Starting with token representations for individual word occurrences, these models methods select a set of token vectors according to the current context.	These models methods begin by using token representations for each word occurrence, then select token vectors based on what the current context requires.	Token representations for individual word occurrences serve as the starting point for these models methods, which subsequently choose token vectors depending on the current context.	Beginning with token representations that correspond to individual word occurrences, these models methods proceed to select token vectors according to the current context.
An alternate set of models (Erk and Padó, 2008; Thater et al., 2011; Dinu et al., 2012) avoids defining a fixed set of word senses, and instead contextualizes word type vectors as we do in this paper.				
These models share the idea of using an element-wise multiplication to apply a context mask to word type representations.	The concept of applying a context mask to word type representations through element-wise multiplication is common to these models.	An element-wise multiplication approach for applying context masks to word type representations is utilized across these models.	All these models employ the same principle: using element-wise multiplication as a method to apply context masks to word type representations.	The shared approach among these models involves element-wise multiplication for the application of context masks to word type representations.
The nature of the context representation varies: Erk and Pado (2008) use inverse selectional preferences; Thater et al (2010) combine a first order representation for the context with a second order representation for the target, Thater et al.				
(2011) rely on syntactic dependencies to define context.				
Apidianaki (2016) shows that bag-ofword context representation within a small context window works as well as syntactic definitions of context for ranking paraphrases in context.	Ranking paraphrases in context proves equally effective whether using bag-ofword context representation within a small context window or syntactic definitions of context, according to Apidianaki (2016).	According to Apidianaki (2016), syntactic definitions of context perform no better than bag-ofword context representation within a small context window when it comes to ranking paraphrases in context.	Apidianaki (2016) demonstrates that for ranking paraphrases in context, bag-ofword context representation within a small context window achieves performance equivalent to that of syntactic definitions of context.	The research by Apidianaki (2016) reveals that bag-ofword context representation within a small context window matches the effectiveness of syntactic definitions of context in the task of ranking paraphrases in context.
The use of convolution is motivated by success of similar models on sentence classification tasks.	Similar models' success on sentence classification tasks provides the motivation for using convolution.	Convolution is employed because analogous models have proven successful in sentence classification tasks.	The decision to apply convolution stems from the effectiveness of comparable models in sentence classification applications.	Success achieved by related models in sentence classification tasks drives the adoption of convolution.
Tang et al (2014) uses convolution over embedding matrices for unigrams, bigrams, and trigrams, while Hovy (2015) uses just unigrams.				
"However, all these works only use convolved representations
to predict properties of the sentence (e.g., sentiment)."				
We use them, instead, to contextualize our target word representations.				
In-context lexical semantic tasks Besides entailment, other lexical semantic tasks studied in the presence of context include lexical substitution (McCarthy and Navigli, 2007), cross-lingual lexical substitution (Mihalcea et al., 2010) and paraphrase ranking (Apidianaki, 2016).				
The last work is also notable because of their successful use of models of word-meaning in context from Thater et al (2011), which is closely related to our methods.				
We proposed to address lexical entailment in context, providing exemplar sentences to ground the meaning of words being considered for entailment.	Our approach involved tackling lexical entailment within contextual frameworks by supplying exemplar sentences that establish the semantic foundation for words under entailment consideration.	To handle lexical entailment in context, we suggested offering exemplar sentences that anchor the definitions of words being evaluated for entailment relationships.	The method we put forward focused on contextual lexical entailment, where exemplar sentences serve to establish the meanings of words targeted for entailment analysis.	We recommended confronting lexical entailment through contextual means, utilizing exemplar sentences to solidify the semantic understanding of words examined for entailment.
We show that contextualized word representations constructed by transforming contextagnostic representations, combined with wordcontext similarity features, lead to large improvements over context-agnostic model, not only in English, but also between English and French words on two novel datasets.	Our findings demonstrate that contextualized word representations, created through the transformation of context-agnostic representations and enhanced with wordcontext similarity features, produce substantial performance gains compared to context-agnostic model across English as well as English-French word pairs in two new datasets.	The results reveal that when context-agnostic representations are transformed into contextualized word representations and augmented with wordcontext similarity features, significant improvements over context-agnostic model are achieved not just for English but also for English-French word combinations across two newly introduced datasets.	Through our research, we establish that contextualized word representations derived from transformed context-agnostic representations, when paired with wordcontext similarity features, yield considerable enhancements beyond context-agnostic model performance in both monolingual English and cross-lingual English-French scenarios on two original datasets.	Our work establishes that transforming context-agnostic representations into contextualized word representations, supplemented by wordcontext similarity features, results in marked improvements over context-agnostic model across both English monolingual and English-French bilingual word tasks using two newly created datasets.
We also improve the state-of-the-art on a related task of detecting semantic relations in context.				
Our features are sensitive to changes in entailment based on context, and also capture the directionality of entailment.	The directionality of entailment is captured by our features, which are also sensitive to context-based changes in entailment.	Context-driven variations in entailment are detected by our features, while they simultaneously record entailment directionality.	Both the directionality of entailment and sensitivity to contextual shifts in entailment are reflected in our features.	When entailment changes due to context, our features respond sensitively, and they additionally encode entailment directionality.
In future work, we aim to further improve performance on both monolingual and cross-lingual datasets.	Our future research will focus on enhancing performance across monolingual and cross-lingual datasets alike.	We plan to advance the effectiveness of our approach on monolingual as well as cross-lingual datasets in subsequent studies.	Future research efforts will be directed toward boosting performance for both monolingual and cross-lingual datasets.	In upcoming investigations, we intend to enhance our system's effectiveness on monolingual and cross-lingual datasets equally.
We anticipate that richer features, capturing second-order comparisons used to detect lexical contrast (Mohammad et al., 2013) and entailment out of context (Turney and Mohammad, 2013), might be useful for this purpose, perhaps in combination with non-linear classifiers.				
Given the usefulness of similarities, we also plan to investigate asymmetric scoring functions(Kotlerman et al., 2010; Shwartz et al., 2017).				
9				
